iter	Passed	Remaining
414	3221	12304
415	3230	12300
416	3237	12288
417	3245	12281
418	3252	12273
419	3259	12261
420	3266	12250
421	3272	12237
422	3280	12230
423	3287	12219
424	3296	12216
425	3303	12204
426	3310	12196
427	3317	12183
428	3325	12177
429	3331	12164
430	3338	12152
431	3345	12143
432	3351	12130
433	3359	12122
434	3366	12112
435	3373	12102
436	3382	12098
437	3395	12107
438	3408	12120
439	3415	12108
440	3427	12114
441	3434	12106
442	3442	12098
443	3448	12086
444	3458	12085
445	3484	12141
446	3509	12192
447	3520	12194
448	3528	12189
449	3540	12195
450	3549	12191
451	3559	12191
452	3567	12183
453	3575	12174
454	3582	12163
455	3590	12156
456	3597	12144
457	3607	12144
458	3614	12133
459	3621	12125
460	3628	12114
461	3636	12106
462	3643	12094
463	3651	12088
464	3658	12077
465	3665	12066
466	3673	12058
467	3680	12048
468	3690	12046
469	3697	12037
470	3705	12027
471	3711	12015
472	3720	12009
473	3726	11998
474	3734	11991
475	3740	11977
476	3748	11970
477	3755	11957
478	3763	11951
479	3770	11940
480	3778	11933
481	3785	11920
482	3792	11911
483	3800	11904
484	3807	11892
485	3815	11885
486	3822	11875
487	3830	11868
488	3836	11855
489	3844	11846
490	3851	11836
491	3858	11825
492	3865	11815
493	3871	11802
494	3879	11795
495	3886	11784
496	3894	11777
497	3901	11766
498	3908	11758
499	3915	11746
500	3922	11735
501	3929	11725
502	3935	11713
503	3943	11704
504	3949	11693
505	3957	11685
506	3963	11672
507	3971	11663
508	3979	11656
509	3987	11648
510	3994	11639
511	4003	11636
512	4010	11623
513	4016	11612
514	4024	11604
515	4033	11600
516	4040	11591
517	4047	11580
518	4055	11571
519	4061	11559
520	4068	11548
521	4075	11540
522	4083	11533
523	4091	11525
524	4098	11515
525	4105	11505
526	4112	11493
527	4120	11486
528	4126	11473
529	4133	11463
530	4139	11452
531	4146	11440
532	4154	11433
533	4160	11422
534	4168	11414
535	4175	11404
536	4183	11398
537	4191	11389
538	4201	11389
539	4208	11378
540	4216	11372
541	4223	11361
542	4231	11353
543	4237	11341
544	4244	11331
545	4251	11322
546	4258	11312
547	4266	11303
548	4273	11293
549	4281	11286
550	4288	11277
551	4295	11268
552	4302	11258
553	4310	11250
554	4317	11240
555	4324	11230
556	4332	11223
557	4339	11213
558	4348	11208
559	4355	11199
560	4363	11193
561	4371	11185
562	4382	11185
563	4391	11180
564	4401	11177
565	4410	11173
566	4417	11165
567	4426	11159
568	4433	11150
569	4442	11144
570	4449	11135
571	4457	11127
572	4463	11117
573	4472	11111
574	4479	11102
575	4486	11091
576	4495	11086
577	4501	11075
578	4509	11068
579	4517	11060
580	4525	11053
581	4532	11043
582	4540	11035
583	4547	11026
584	4555	11017
585	4561	11007
586	4570	11001
587	4576	10990
588	4585	10983
589	4592	10975
590	4599	10964
591	4620	10989
592	4645	11023
593	4663	11037
594	4674	11036
595	4687	11042
596	4698	11042
597	4710	11043
598	4718	11036
599	4726	11028
600	4735	11023
601	4743	11015
602	4752	11010
603	4759	11000
604	4769	10997
605	4778	10992
606	4789	10990
607	4798	10986
608	4806	10977
609	4815	10973
610	4824	10968
611	4835	10965
612	4843	10958
613	4854	10957
614	4864	10955
615	4873	10948
616	4883	10945
617	4891	10939
618	4901	10936
619	4910	10930
620	4919	10923
621	4928	10919
622	4938	10914
623	4947	10910
624	4955	10902
625	4965	10898
626	4975	10895
627	4983	10888
628	4994	10886
629	5004	10881
630	5013	10877
631	5022	10871
632	5032	10868
633	5042	10865
634	5051	10857
635	5060	10853
636	5068	10845
637	5078	10841
638	5087	10835
639	5097	10831
640	5106	10826
641	5115	10819
642	5125	10816
643	5132	10807
644	5143	10805
645	5151	10797
646	5161	10794
647	5171	10790
648	5179	10781
649	5190	10780
650	5199	10775
651	5208	10769
652	5216	10760
653	5225	10754
654	5232	10745
655	5241	10738
656	5249	10730
657	5258	10723
658	5266	10715
659	5274	10708
660	5283	10703
661	5291	10694
662	5298	10685
663	5306	10676
664	5314	10668
665	5322	10660
666	5330	10652
667	5339	10646
668	5347	10638
669	5356	10632
670	5363	10624
671	5373	10618
672	5382	10613
673	5392	10609
674	5403	10606
675	5412	10599
676	5419	10591
677	5429	10587
678	5437	10578
679	5450	10580
680	5466	10587
681	5494	10617
682	5511	10627
683	5529	10638
684	5544	10643
685	5561	10652
686	5570	10645
687	5581	10643
688	5590	10637
689	5599	10631
690	5609	10625
691	5617	10618
