iter	RMSE
234	0.3934981245
235	0.3934099759
236	0.3933425268
237	0.3932790511
238	0.3932063658
239	0.393138286
240	0.3930502383
241	0.3929351279
242	0.3928733846
243	0.3927710273
244	0.3926890527
245	0.3925626318
246	0.3924755468
247	0.3924076128
248	0.3923408989
249	0.3922427453
250	0.3921711461
251	0.3920810724
252	0.3920051976
253	0.3918967082
254	0.3918355328
255	0.3916902144
256	0.3916144049
257	0.3915283497
258	0.3914368886
259	0.3913046673
260	0.391205532
261	0.391110098
262	0.391059484
263	0.3909453931
264	0.3908822623
265	0.3907773309
266	0.3907264018
267	0.3906440462
268	0.3905563806
269	0.3904369745
270	0.3903655629
271	0.390271586
272	0.3901724397
273	0.3900464274
274	0.3899900329
275	0.3898482242
276	0.3897461466
277	0.3896959488
278	0.38963875
279	0.3895478131
280	0.3894849182
281	0.3894243352
282	0.3892995709
283	0.3892059059
284	0.3891446814
285	0.3890816793
286	0.3889528193
287	0.3888816701
288	0.3888213414
289	0.3887433817
290	0.3886868044
291	0.3886358708
292	0.3885572294
293	0.3884963401
294	0.3884275241
295	0.3883642701
296	0.3883042802
297	0.3882112641
298	0.3881644768
299	0.3880702125
300	0.3879966394
301	0.3879009055
302	0.3878512972
303	0.3877840012
304	0.3877099723
305	0.3876444045
306	0.3875651895
307	0.3874697749
308	0.3873999915
309	0.3873098465
310	0.3872547406
311	0.3871925973
312	0.3871266902
313	0.3870698034
314	0.3869664479
315	0.3869073898
316	0.38681065
317	0.3867250704
318	0.3866452893
319	0.3865710715
320	0.3864971377
321	0.3864097997
322	0.3863323511
323	0.3862872005
324	0.3862348077
325	0.3861712286
326	0.3860813584
327	0.3860204126
328	0.3859437643
329	0.3858638094
330	0.3858190747
331	0.3857612712
332	0.3857087833
333	0.3856443724
334	0.3855796624
335	0.3854724789
336	0.3854005608
337	0.3853193498
338	0.3852460908
339	0.3851847578
340	0.3851261853
341	0.3850618265
342	0.3849698594
343	0.384915953
344	0.3848727897
345	0.384772243
346	0.3847092891
347	0.3846466181
348	0.3845750532
349	0.3844804683
350	0.3844234354
351	0.3843479046
352	0.3842938249
353	0.3842476693
354	0.3842032294
355	0.3841549953
356	0.3841000561
357	0.3840451688
358	0.3839851124
359	0.3839406251
360	0.3838883298
361	0.3838264307
362	0.3837389409
363	0.3836828748
364	0.3836133937
365	0.3835664441
366	0.3835135065
367	0.3834502377
368	0.3834003056
369	0.3833435446
370	0.3832937503
371	0.3832241954
372	0.3831528036
373	0.3830783904
374	0.382985914
375	0.3829253259
376	0.3828643692
377	0.3827911989
378	0.3827507433
379	0.3826987792
380	0.3826431608
381	0.3825739325
382	0.3824970637
383	0.382425599
384	0.3823680991
385	0.3822784795
386	0.3822313841
387	0.3821589793
388	0.3820775598
389	0.3820034077
390	0.3819560187
391	0.3818621299
392	0.3818147979
393	0.3817508459
394	0.3816929573
395	0.3816331992
396	0.3815856786
397	0.3815210942
398	0.3814382553
399	0.3813815842
400	0.3813352665
401	0.3812581402
402	0.3811638163
403	0.3811065174
404	0.381054135
405	0.3810093304
406	0.3809484194
407	0.3808856997
408	0.3808385857
409	0.3807756787
410	0.3807024565
411	0.3806232407
412	0.3805479626
413	0.3805008141
414	0.3804538309
415	0.3803836529
416	0.3803309032
417	0.3802798311
418	0.3802348715
419	0.3801692491
420	0.3801010922
421	0.3800558952
422	0.3799991964
423	0.3799143098
424	0.3798765621
425	0.3798108123
426	0.3797790495
427	0.3796901025
428	0.3796337007
429	0.3795514038
430	0.3795098968
431	0.3794218696
432	0.3793674067
433	0.3793026731
434	0.3792489567
435	0.3791933204
436	0.3791550902
437	0.3790975976
438	0.3790680265
439	0.3790158546
440	0.378959249
441	0.3789041424
442	0.3788472611
443	0.3787698702
444	0.3787379825
445	0.3786925236
446	0.3786388465
447	0.3785683261
448	0.3785102353
449	0.3784676899
450	0.3784296691
451	0.3783865412
452	0.3783366578
453	0.3782969996
454	0.3782277024
455	0.3781811181
456	0.378125125
457	0.3780796749
458	0.3780166654
459	0.377932825
460	0.3778704349
461	0.3778363152
462	0.3777630092
463	0.3777105611
464	0.3776679738
465	0.3776081423
466	0.3775498363
467	0.3774914156
468	0.3774340146
469	0.3773646176
470	0.3773045877
471	0.3772590454
472	0.3772120016
473	0.3771631258
474	0.3771116285
475	0.377052162
476	0.3769935133
477	0.3769503962
478	0.3769164965
479	0.3768455019
480	0.3767978362
481	0.3767620297
482	0.3767064734
483	0.3766387294
484	0.3765771226
485	0.3765420535
486	0.3765050107
487	0.3764523508
488	0.3764096916
489	0.376366061
490	0.3763353774
491	0.3762961383
492	0.3762534987
493	0.3762140959
494	0.3761585095
495	0.3760933868
496	0.3760547507
497	0.376014308
498	0.3759374579
499	0.3758816845
500	0.375845244
501	0.3757712072
502	0.3757279073
503	0.3756580035
504	0.3755859045
505	0.3755359032
506	0.3754928354
507	0.3754420888
508	0.3753886953
509	0.375343858
510	0.3753115845
511	0.3752849907
512	0.375236412
513	0.3751859262
514	0.375140113
515	0.3750932418
516	0.375037969
517	0.374973351
518	0.3749508985
519	0.3748962071
520	0.3748325298
521	0.3747762968
522	0.3747311642
523	0.3746827194
524	0.3746476139
525	0.3745856968
526	0.3745285394
527	0.3744842554
528	0.3744474686
529	0.3743922164
530	0.3743542649
531	0.3743148704
532	0.3742729045
533	0.3742173355
534	0.3741701119
535	0.3741253066
536	0.3740785886
537	0.374016537
538	0.3739745686
539	0.373926367
540	0.3738596954
541	0.3738153859
542	0.3737774542
543	0.3737184292
544	0.3736746915
545	0.3736409915
546	0.3735804351
547	0.3735460447
548	0.3734879139
549	0.3734214337
550	0.3733722723
551	0.3733451334
552	0.3732817491
553	0.3732167929
554	0.3731774754
555	0.3731388354
556	0.37310275
557	0.3730611526
558	0.3730170272
559	0.3729484459
560	0.3728877608
561	0.3728457485
562	0.3727767905
563	0.372746722
564	0.3727053639
565	0.3726382415
566	0.3725749578
567	0.3725343367
568	0.3724825752
569	0.3724241747
570	0.3723803277
571	0.3723423081
572	0.3722706528
573	0.3722287691
574	0.3722057016
575	0.3721726408
576	0.372127858
577	0.3720855545
578	0.372046542
579	0.3720176772
580	0.3719871245
581	0.3719482326
582	0.3718989598
583	0.3718503395
584	0.3718103324
585	0.3717691735
586	0.3717172333
587	0.3716488861
588	0.3716285433
589	0.3715832681
590	0.3715422852
591	0.3714782367
592	0.3714273118
593	0.3713886429
594	0.3713552129
595	0.3713077509
596	0.3712740708
597	0.3712186232
598	0.3711722459
599	0.3711253007
600	0.3710704483
601	0.371033556
602	0.3709889715
603	0.3709357545
604	0.3709100517
605	0.3708544993
606	0.370824162
607	0.3707871453
608	0.3707356264
609	0.3706857208
610	0.3706557599
611	0.3705898993
612	0.3705441412
613	0.3705093238
614	0.370479108
615	0.3704273903
616	0.3703848498
617	0.3703390289
618	0.3702896976
619	0.3702207857
620	0.3701744124
621	0.3701254002
622	0.3700921561
623	0.3700484363
624	0.3699858373
625	0.3699409215
626	0.3699151283
627	0.3698718229
628	0.3698240723
629	0.3697741565
630	0.3697393885
631	0.369707653
632	0.3696432957
633	0.3696038557
634	0.3695447112
635	0.3694923532
636	0.3694478823
637	0.3694106345
638	0.3693607999
639	0.3693216981
640	0.3692845284
641	0.3692431888
642	0.3691842948
643	0.3691554576
644	0.3691058826
645	0.3690594635
646	0.3690102789
647	0.368968491
648	0.3689444565
649	0.3689130889
650	0.3688511461
651	0.3688024521
652	0.3687800951
653	0.3687328696
654	0.3686996758
655	0.3686717792
656	0.3686255794
657	0.3685796791
658	0.3685432126
659	0.3684816291
660	0.3684306748
661	0.3684105238
662	0.368377337
663	0.3683490547
664	0.3682907468
665	0.3682419609
666	0.368212107
667	0.3681723123
668	0.3681414204
669	0.3681087703
670	0.3680650535
671	0.3680367235
672	0.3679939116
673	0.3679403076
674	0.3679138115
675	0.3678574678
676	0.3678110538
677	0.3677816233
678	0.367735776
679	0.3676859371
680	0.3676548865
681	0.3676157987
682	0.3675768961
683	0.367524654
684	0.3674931819
685	0.3674711884
686	0.3674452797
687	0.3674232524
688	0.3673892519
689	0.3673274657
690	0.3672944044
691	0.3672294713
692	0.3671941937
693	0.3671637383
694	0.3671332586
695	0.3670810572
696	0.3670391243
697	0.3670071337
698	0.3669806349
699	0.3669601189
700	0.3669182488
701	0.3668964316
702	0.3668552246
703	0.3668215356
704	0.3667919408
705	0.3667745145
706	0.3667288861
707	0.3666877471
708	0.3666360306
709	0.3666009419
710	0.3665675243
711	0.3665263105
712	0.3664867108
713	0.3664397356
714	0.3663909991
715	0.3663355055
716	0.366304866
717	0.3662743656
718	0.3662449189
719	0.3662067814
720	0.3661504423
721	0.3661210733
722	0.3660896531
723	0.3660505108
724	0.3660123808
725	0.3659701026
726	0.3659202315
727	0.3658681879
728	0.3658054806
729	0.3657645088
730	0.3657316152
731	0.3656812696
732	0.3656378447
733	0.3656111937
734	0.3655880658
735	0.3655450002
736	0.3654961781
737	0.3654347744
738	0.3653733148
739	0.3653415285
740	0.3653084055
741	0.3652827753
742	0.3652589076
743	0.3652211577
744	0.3651831905
745	0.3651496947
746	0.3651052244
747	0.3650649588
748	0.3650161836
749	0.3649919569
750	0.364951843
751	0.3649356536
752	0.364894794
753	0.3648708637
754	0.364819903
755	0.3647831025
756	0.364743865
757	0.3646963704
758	0.3646290809
759	0.3645742578
760	0.3645489505
761	0.3645083136
762	0.364478818
763	0.3644435333
764	0.3644071468
765	0.3643501838
766	0.3643311781
767	0.3642796282
768	0.3642481615
769	0.3642185442
770	0.3641842066
771	0.3641386132
772	0.364095284
773	0.3640476644
774	0.3640198832
775	0.363982349
776	0.3639527777
777	0.3639000874
778	0.3638606076
779	0.3638142262
780	0.3637753938
781	0.3637185043
782	0.3636764936
783	0.363643618
784	0.3636154534
785	0.3635888524
786	0.363554664
787	0.3635248761
788	0.3634895329
789	0.3634555998
790	0.363407363
791	0.3633718178
792	0.3633311567
793	0.3633038209
794	0.3632817952
795	0.3632499573
796	0.3632213845
797	0.3631904926
798	0.3631486204
799	0.3631122258
800	0.3630722495
801	0.3630271668
802	0.3629970557
803	0.3629716326
804	0.3629292517
805	0.3628880854
806	0.3628511126
807	0.3628136028
808	0.3627751811
809	0.3627183013
810	0.3626783767
811	0.3626376673
812	0.3625953281
813	0.3625511498
814	0.3625274032
815	0.3624811856
816	0.3624323822
817	0.3623825094
818	0.362351042
819	0.3623125217
820	0.3622900641
821	0.3622662041
822	0.3622291183
823	0.3621953865
824	0.362147305
825	0.3621082225
826	0.3620769759
827	0.3620380176
828	0.3619953209
829	0.3619655037
830	0.3619417276
831	0.3619256517
832	0.3618855791
833	0.3618588861
834	0.361811803
835	0.3617586148
836	0.3617260043
837	0.3616940851
838	0.3616504732
839	0.3615921193
840	0.3615529724
841	0.3615264499
842	0.361485821
843	0.3614632707
844	0.3614240501
845	0.3613927672
846	0.3613562217
847	0.3613327889
848	0.3612908489
849	0.3612584678
850	0.3612181524
851	0.3611921992
852	0.3611450976
853	0.3611143924
854	0.3610733046
855	0.3610491432
856	0.3610172336
857	0.3609925364
858	0.3609683039
859	0.3609283343
860	0.3608814841
861	0.3608412412
862	0.3607990117
863	0.3607598012
864	0.3607247992
865	0.3606978789
866	0.3606699815
867	0.3606524384
868	0.3606241569
869	0.3605936336
870	0.3605706532
871	0.3605365324
872	0.3605056162
873	0.3604434927
874	0.3604012558
875	0.3603713084
876	0.3603368867
877	0.3603153133
878	0.3602771283
879	0.3602352566
880	0.3602082712
881	0.3601619818
882	0.3601298435
883	0.3601011959
884	0.3600586587
885	0.3600289299
886	0.3599901834
887	0.3599517459
888	0.3599137064
889	0.3598883425
890	0.3598448296
891	0.3598106316
892	0.3597789938
893	0.3597480855
894	0.3597092952
895	0.3596780696
896	0.3596510741
897	0.3596143708
898	0.3595802252
899	0.3595196663
900	0.3594835707
901	0.359431572
902	0.3594088849
903	0.3593667711
904	0.3593328033
905	0.3592910272
906	0.3592648142
907	0.3592470384
908	0.3592139692
909	0.3591876461
910	0.3591410996
911	0.3591173435
912	0.3590897427
913	0.3590691729
914	0.3590315258
915	0.3589921691
916	0.3589451105
917	0.3588856012
918	0.3588586653
919	0.3588204548
920	0.3587837447
921	0.3587557141
922	0.3586974431
923	0.3586407833
924	0.358614041
925	0.3585738772
926	0.3585311298
927	0.3585128687
928	0.3584628877
929	0.358406941
930	0.3583755565
931	0.3583408148
932	0.3583117179
933	0.3582726352
934	0.3582292329
935	0.3581979177
936	0.3581621155
937	0.3581440287
938	0.3581111683
939	0.3580821472
940	0.358046216
941	0.3580031279
942	0.3579793763
943	0.3579584964
944	0.3579305842
945	0.3579094749
946	0.357880636
947	0.3578305196
948	0.357810535
949	0.3577917795
950	0.3577624336
951	0.3577259453
952	0.3576830699
953	0.3576405924
954	0.3576165307
955	0.3576009518
956	0.3575677074
957	0.3575379045
958	0.35749392
959	0.3574664242
960	0.357445539
961	0.3574269262
962	0.3573993496
963	0.3573495423
964	0.3573031975
965	0.3572802813
966	0.3572408409
967	0.3572213211
968	0.3571763606
969	0.3571504061
970	0.3571345614
971	0.3570918376
972	0.3570554593
973	0.3570176425
974	0.3569636281
975	0.3569361765
976	0.3569087286
977	0.3568593012
978	0.3568143192
979	0.3567761105
980	0.356755232
981	0.3567045248
982	0.3566629822
983	0.3566230699
984	0.3565913467
985	0.3565616853
986	0.3565316091
987	0.356487449
988	0.3564561344
989	0.3564320666
990	0.3564084616
991	0.3563732024
992	0.356334993
993	0.3562958523
994	0.3562729145
995	0.3562130398
996	0.3561809236
997	0.3561578139
998	0.3561251094
999	0.3560634525
